,params,mean_test_score
6,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'linear'}",0.6262099776619509
7,"{'C': 0.1, 'gamma': 0.005, 'kernel': 'linear'}",0.6262099776619509
8,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'linear'}",0.6262099776619509
3,"{'C': 0.005, 'gamma': 0.01, 'kernel': 'linear'}",0.6228592702903947
4,"{'C': 0.005, 'gamma': 0.005, 'kernel': 'linear'}",0.6228592702903947
5,"{'C': 0.005, 'gamma': 0.001, 'kernel': 'linear'}",0.6228592702903947
9,"{'C': 0.2, 'gamma': 0.01, 'kernel': 'linear'}",0.6094564408041697
10,"{'C': 0.2, 'gamma': 0.005, 'kernel': 'linear'}",0.6094564408041697
11,"{'C': 0.2, 'gamma': 0.001, 'kernel': 'linear'}",0.6094564408041697
14,"{'C': 0.5, 'gamma': 0.001, 'kernel': 'linear'}",0.609084139985108
12,"{'C': 0.5, 'gamma': 0.01, 'kernel': 'linear'}",0.609084139985108
13,"{'C': 0.5, 'gamma': 0.005, 'kernel': 'linear'}",0.609084139985108
16,"{'C': 1, 'gamma': 0.005, 'kernel': 'linear'}",0.6083395383469844
15,"{'C': 1, 'gamma': 0.01, 'kernel': 'linear'}",0.6083395383469844
17,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",0.6083395383469844
1,"{'C': 0.001, 'gamma': 0.005, 'kernel': 'linear'}",0.5867460908413998
2,"{'C': 0.001, 'gamma': 0.001, 'kernel': 'linear'}",0.5867460908413998
0,"{'C': 0.001, 'gamma': 0.01, 'kernel': 'linear'}",0.5867460908413998
